S,R
BTC,-1
SPX,-1
SPX,-1
BTC,-1
GOLD,-1
GOLD,-1
SPX,-1
DXY,-1
GOLD,-1
BTC,1.13
BTC,-1
ETH,3.86
SPX,3.1
BTC,6.17
ETH,-1
BTC,-1
TSLA,-2
AAPL,-1
BTC,3.21
SPX,-1
BTC,2.63
ROSE,3.91
ROSE,2
BTC,-1
GOLD,1.47
US500,1.23
BTC,2.31
US500,2.43
BTC,-1
SHIB,-1
GOLD,4.29
BTC,13.1
BTC,48.37
US500,-1
US500,-1
BTC,2.97
US500,-1
BTC,-1
US500,-1
US500,-1
ETH,0
BTC,-1
BTC,4
BTC,-2
USOIL,-1
BTC,4.42
BTC,-1
BTC,1.3
GOLD,2
BTC,2.32
BTC,-2
BTC,-1
BTC,1.89
BTC,3.45
BTC,-2
BTC,-1
BTC,-2
GOLD,11
US500,-1
GOLD,0
BTC,1.5
NQ,-1
